Sr No,Text,Original sentiment Score,Predicted Sentiment Score,S-Precision,S-Recall,Sentiment F1 Score,S-Accuracy,Word-Sentiment Pairing,sentiment-score pairing
140,"2) overload of submission 
3) extra completion which is really not of use 
4) yes , sometimes 
5) social media 
6) no
7) nope , never 
8) no 
9) yes sometimes .... there are some subjects which are really not of use like m1 m2 m3 ....
10) yes when it comes to marks ....my parents generally do that ...",NIL,NIL,1,1,1,1,NIL,NIL
141,"there are certain things that are distracted while studying i.e movie , t.v. , social media, family problems etc. because of these problems i cant focus on studies and there are so many thoughts in my mind. sometimes, i get confused or discussed while studying because i dont like to study that subject. sometimes, i hesitate to ask queries to teachers because i am not feel comfortable to ask some questions. i feel that studies are essential only at certain point but beyond that practical knowledge and our likes and dislikes are most important.  ","confused,nervous,hate","hate,distracted",0.5,0.333333333,0.4,0.896551724,"{'cant focus': 'distracted', 'dislike': 'hate'}","{'distracted': 80, 'hate': 80}"
142,"when my mom scolds me ,i get sad and am unable to study properly.i get irritated when i am not understanding a concept .when i try reading it over and over and i still dont understand it.what bothers me is when i study history or civics i dont like these subjects. i mostly dont that much pressure but sometimes when the exam is just next day and i cant finish my study.sometimes i get distracted when i read a word similar to one i have heard in a song or story i start thinking that stuff rather than studies. well yes i do get confused like i do get some queries but i ask them right away to my teacher or mom. i dont feel that i know everything.how can i know everything when i am just 12 and my mom or dad knows whats the best for me so i do they tell me to do.if i have a doubt i straight forwardly ask it to my teacher.i dont feel studies are not essential.studying are really important for a good future. i dont know anyone who does that tho my mom does compare me with some non-existent ideal person in her imagination.
","confused,upset","confused,proud",0.5,0.5,0.5,0.931034483,"{'confused': 'confused', 'i know everything': 'proud', 'dont know': 'confused'}","{'confused': 92, 'proud': 60}"
143,when things didnt went well that makes me distracted ... sometimes i hesitate to ask queries in class ... i am good in practical knowledge but therotical study bores me.... thoughts of playing game on mobile distracts from study... dont have enough stability for deep study... comparison with other friends disappointed me...,"distracted,bored","bored,distracted",1,1,1,1,"{'mobile': 'distracted', 'bore': 'bored', 'distract': 'distracted'}","{'distracted': 98, 'bored': 100}"
144,"there are many online distrations while studying in online mode specially mobile phones 
sometime confusion occurs due to vast syllabus",NIL,NIL,1,1,1,1,NIL,NIL
145,"mobile distractions 
irritations due to more home works
sometimes confusion arises due to vast syllabus 
",NIL,NIL,1,1,1,1,NIL,NIL
146,"the study said not everyone likes it. someone says study tax comes to life. if you look at it like that, you will fall asleep if the name of the study is mentioned! in fact, whenever i sit down to study, the tv, the mobile, the cluttered surroundings distract me. so no matter how much you decide to study, the mind doesnt get involved in the study, so it was annoying. i dont like the subject of mathematics in my studies. there are so many formulas, i dont know which formula to keep in mind. confusion is in everyone's head! so everything keeps getting irritated.","irritable,hate,confused","irritable,confused,distracted",0.666666667,0.666666667,0.666666667,0.931034483,"{'distract': 'distracted', 'dont like': 'irritable', 'dont know': 'confused'}","{'distracted': 100, 'irritable': 60, 'confused': 80}"
147,"i get very angry when everyone comes and tells me to study, study. i love to play in the evenings when all the friends come downstairs to play, mom just tells the study that i get annoyed. i get angry when the teacher gets angry in front of everyone at school. the day before the social science paper, i always have tension.","irritable,nervous",nervous,1,0.5,0.666666667,0.965517241,{'tension': 'nervous'},{'nervous': 80}
148,"studying has been fun since i started school online! it was fun at first but then i got bored. most of the time there is a lot of annoyance due to lack of internet connectivity. i have to stay at home so i dont feel like anything, everything feels hopeless. youtube was very distracting.","bored,frustrated,distracted","bored,frustrated",1,0.666666667,0.8,0.965517241,"{'bored': 'bored', 'hopeless': 'frustrated'}","{'bored': 100, 'frustrated': 80}"
149,"i dont have concentration while studying. online lectures dont me a link or a quick understanding of what the teacher teaches. there are a lot of disturbances in the house, so attention goes around. feeling we have 'run out of gas' emotionally. so everything seems boring.",distracted,distracted,1,1,1,1,{'dont have concentration': 'distracted'},{'distracted': 80}
150,i love to study. i complete whatever the teacher teaches. but sometimes there is a lot of tension before the exam. if i dont remember anything! so comes the tension of the study. sometimes there is tension between parents' expectations.,NIL,forgetful,0,0,0,0,{'dont remember': 'forgetful'},{'forgetful': 80}
151,"the thing that distracts me from studying is mobile. social media in mobile distracts the mind. the mind cant remain concentrated. many thoughts come to mind. then a lot of time goes into those things. family disputes can then be a distracting factor in the study. if you dont understand or find it difficult while studying, you get bored of studying. practicing something you dont like requires concentration and calmness, and if these things dont happen then you get irritated and angry. studying a difficult subject can be oppressive and you dont like to study like that.",distracted,distracted,1,1,1,1,{'distract': 'distracted'},{'distracted': 100}
152,"nowadays, you cant go out because of kovid-19, so you feel bored at home. only talks on the phone with friends. studying is not fun, in the past we used to study by discussing with our friends but now it is not like that. at first there was no concept that could be explained by going to a friend but now i cant go to anyone.",NIL,NIL,1,1,1,1,NIL,NIL
153,"the more i dont like to study, the more i love art. i want to be a musician. my parents support me. but sometimes the pressure comes from everything, will i succeed? can the decision i made be fulfilled?",hate,irritable,0,0,0,0.931034483,{'dont like': 'irritable'},{'irritable': 60}
154,"i get a lot of sleep when i pick up a study book. i feel very tired, while studying. at the time of the exam, i have to study for 7 to 8 hours, but i get a lot of sleep and my head is numb, i feel that no matter how much i read now, it will not enter my head. feeling too tired not feeling excited while studying!",tired,"tired,lost",0.5,1,0.666666667,0.965517241,"{'tired': 'tired', 'numb': 'lost'}","{'tired': 100, 'lost': 70}"
155,i feel very lonely at times. i still felt lonely when everyone was at home. i think i want a loving friend so i dont pay attention to the study. mom and dad are busy with their work so there is no one to talk to me. i feel very lonely.,depressed,depressed,1,1,1,1,{'lonely': 'depressed'},{'depressed': 80}
156,"right now i have taken admission in engineering by giving 12th exam. i took up computer engineering as my parents said. but i have a lot of study tension. will i adjust to new places, new friends? i am afraid i can study all the subjects properly. burden also comes from staying away from parents.","nervous,fearful","fearful,nervous",1,1,1,1,"{'tension': 'nervous', 'afraid': 'fearful'}","{'nervous': 80, 'fearful': 100}"
157,"i am an engineering student. the biggest problem while studying is mobile, which doesnt cause concentration in the study. now netflix, amazon series is wasting a lot of time and not studying. lockdown has made all the courses online, so what you can learn from the blackboard is no longer available.",NIL,NIL,1,1,1,1,NIL,NIL
158,"i like to study at night but my mother tells me to get up in the morning and study, it makes me very irritated. i like to sit on the bed and study but my parents tell me to sit on the table and chair and study. the study should be fun and not boring.",irritable,irritable,1,1,1,1,{'irritated': 'irritable'},{'irritable': 100}
159,"the internet doesnt work well where i live. i dont have a smart phone in my house. our school has started online classes but i cant do it. i feel so bad, my years went by without studying like that.",NIL,frustrated,0,0,0,0,{'bad': 'frustrated'},{'frustrated': 60}
160,"i feel bad when my mother is angry with me and then i dont study properly. i get irritated when i dont understand a concept even after reading it over and over again while studying. i dont like history and civics at all, so i get bored studying these subjects. i dont usually have any stress. but i feel tense when i think that there will be an exam the next day and my studies will not be completed. while studying, sometimes when a word in a book matches a song or something, my attention is distracted and then my mind gets lost in those songs or those things. yes, while studying, sometimes i dont understand some things but then i immediately asks my teacher or mom for that. i am only eleven years old so how do i know everything? my parents know what is best for me..so i do what they tell me to do. study is very important for me because only good study can lead to a better future .. normally no one compares me with others only mother sometimes compares me with the ideal girl in her imagination..as sometimes says ""if there was a girl she did it asat ""e.",bored,"irritable,proud",0,0,0,0.896551724,"{'dont like': 'irritable', 'i know everything': 'proud'}","{'irritable': 60, 'proud': 60}"
161,no didnt hestitate to ask queries  no i didnt irritated while studies when nebouring sound is coming then i am that time i get distracted no i didnt not get pressure while studies no i didnt confused while studies no i feel studies are essential in our life ,NIL,NIL,1,1,1,1,NIL,NIL
162,"my main problem is that i cant concentrate on studies for more than half hour. whenever i study, i get distracted or bored after some time. related to academics, i have problem in thereotical subjects like social science. i find it difficult to learn all the dates and definitions. i also have one more problem- i cant study everyday. i always study just before the exam. i never hesitate to talk with my teachers and i am never nervous about exams so it is *not* an issue. ","irritable,distracted,bored,upset,low confidence","low confidence,irritable,bored,upset,distracted",1,1,1,1,"{'cant concentrate': 'irritable', 'have problem': 'upset', 'cant study': 'low confidence', 'distract': 'distracted', 'bore': 'bored'}","{'irritable': 80, 'upset': 70, 'low confidence': 80, 'distracted': 100, 'bored': 100}"
163,nothing any problem ????,NIL,NIL,1,1,1,1,NIL,NIL
164,nothing any problem ????,NIL,NIL,1,1,1,1,NIL,NIL
165,tention,NIL,NIL,1,1,1,1,NIL,NIL
166,"comparison with other students, impractical projects given in school, quality of teachers ",NIL,NIL,1,1,1,1,NIL,NIL
167,whatsapp and instagram distracts me. i try to concentrate and plan my activities but again get addicted to check my phone again and again to see any updates or notifications as and when they pop up.,distracted,distracted,1,1,1,1,"{'whatsapp': 'distracted', 'instagram': 'distracted', 'distract': 'distracted'}",{'distracted': 97}
168,"yes, my parents keep comparing the results of their friends children which irritates me a lot. at the same time it creates pressure to score more & i am unable to concentrate. i feel studies should be left up to a student only guidance should be given to achieve the future goals.","upset,irritable,anxious,distracted","upset,irritable,anxious,distracted",1,1,1,1,"{'compare': 'upset', 'irritate': 'irritable', 'unable to concentrate': 'distracted', 'pressure': 'anxious'}","{'upset': 80, 'irritable': 100, 'distracted': 80, 'anxious': 80}"
169,"monotonous way of studies and when i dont a particular concept then i get irritated. and because of that i distract myself through internet surfing, social media,etc. society compares one student with another, this is one of the negative part. there is constant pressure of outside world that if you dont study, if you cant get good marks, if you are a average student then you cant do anything in your life. sometimes that pressure is unbearable.",distracted,distracted,1,1,1,1,"{'internet': 'distracted', 'distract': 'distracted'}",{'distracted': 98}
170,"sometimes when there is too much to study a subject or something, a thought comes through in mind that ""will it be useful in future?"", "" where will this be useful?"". we need someone to tell us the importance of the subject in future that we are studying presently. if it is just for knowledge then their marks should be considered differently like in grades ans less pressure should be given to us students on such subjects. 
",NIL,NIL,1,1,1,1,NIL,NIL
171,lack of concentration ,NIL,NIL,1,1,1,1,NIL,NIL
172,"the most upper bounded problem with me and  studies  which i gets irritated with is not able to solve or find the concept clear even after puts enough efforts into it. besides when i understand the concept, i cant solve the questions i am specifically talking about discrete mathematics.if i speak generally, usually the face the pressure but to take it positively, it would help me working in pressure in the future.
i normally get distracted when i cant carry out a particular set if questions/concept in a particular time.
i also gets bothered by my inconvenience of space",irritable,irritable,1,1,1,1,{'irritated': 'irritable'},{'irritable': 100}
173,"mind gets distracted mostly because of daydreaming, and procrastination as a result. it is then followed by guilt as we realize that we have not achieved the daily target. it then makes us demotivated. many times people around us also distract us, eg: noises in background like television, or mobile.",NIL,NIL,1,1,1,1,NIL,NIL
174,"i am not able to study because of my mobile, laziness and habit of procrastination ","careless,upset","careless,upset",1,1,1,1,"{'laziness': 'careless', 'procrastination': 'upset'}","{'careless': 80, 'upset': 80}"
175,"1. for me there isnt anything that takes me in deep sorrow for my studies .
2. i get irritated when i am being interupted 
3. my career and specially my grades 
4. i never did , but there is always a pressure during exams so ??
5. as i know this generation is a lot interested in social media platforms so it sometimes distracts ..
6. sometimes when the concepts are not cleared or i wasnt attentive then ..
7. it happens sometimes coz parents always want more ...
8. when ur new to class then it happens but not everytime ..
9. for me everything is my studies and my career and nothing else but as i am turning old people are more interested about my marriage and i totally oppose it .
10. well i will say that parents do compare their childs with other childrens ..??????
i hope i helped you in your work and thank you for this , it also helped me acknowledge many a things about myself ????
thanks ??","anxious,frustrated,upset",anxious,1,0.333333333,0.5,0.931034483,{'pressure': 'anxious'},{'anxious': 80}
176,"social media is a great hindrance in today's age of online lectures. also, duration of lectures should be cut short from 90 minutes to 45-50 minutes. ",NIL,NIL,1,1,1,1,NIL,NIL
177,practical teaching and learning is missing somewhere due to online learning.,NIL,NIL,1,1,1,1,NIL,NIL
178,"when in have a queries i never ask any teacher
",NIL,NIL,1,1,1,1,NIL,NIL
179,"early, i find problem in my studies because of online platform. i am not taking exam serious and not practice the practical subject coz its mcq format. i am not irritate from my studies but offcourse sometimes bored. i feel the pressure when doing theroy subject. i am not hesitate to ask a queries but now in online lecture is not that much clear sometime. i think i face a little bit problem in online lecture and in theory subject.  ",NIL,NIL,1,1,1,1,NIL,NIL
180,i am unable to study for a long time .i hesitate to ask queries in the class because i am very shy person,"anxious,shy","anxious,shy",1,1,1,1,"{'hesitate': 'anxious', 'shy': 'shy'}","{'anxious': 80, 'shy': 100}"
181,i cant focus on my studies and career because sale yea rishte darr dimag ka bhosda kab karna bandh karengea jaise abhi yea jisne bheja hai,distracted,distracted,1,1,1,1,{'cant focus': 'distracted'},{'distracted': 80}
182,comparison with other kids is a big pressure. mobiles distract us. teachers are now taking everything for grnated,NIL,NIL,1,1,1,1,NIL,NIL
183,.,NIL,NIL,1,1,1,1,NIL,NIL
184,"students should learn to gain knowledge.
they should not focus on the marks .mobile phones are the main distraction nowadays .we should b open minded so yhat we can gain more knowledge.",NIL,NIL,1,1,1,1,NIL,NIL
185,"being a student there are lots of distraction while doing a study....and as am 18+ , for me my mobile nd social meadia is a big concern . i know that i can use social meadia in favour of my study but always and always i get fail in that. i always know that the only thing can change my life or can give me the lifestyle which i want is study , but again i get distracted from it. and when i cant study properly i get irritated. even though no one ask me to for study i know i have to do it but sometimes state of my mind didnt allow to do it because there are lots of reason like  laziness , ignorece of mine only . and then in other points....no one compares me with anyone else , asking questions to teachers is not that hard for me the only thing which distracte me most is my laziness and social meadia i now only i am working on it isets limts on use kf my mobile nd i am always keeping myself moyivted tk no get lazy while doing study. thank you ??","distracted,sad,careless,tired","sad,distracted",1,0.5,0.666666667,0.931034483,"{'distraction': 'distracted', 'fail': 'sad', 'distract': 'distracted'}","{'distracted': 100, 'sad': 80}"
186,"in online studies we dont understand the concept which we easily understand in offline,  we can interact with teachers in offline studies we meet our friends and discuss with them about lesson ",NIL,NIL,1,1,1,1,NIL,NIL
187,"during online studies faculties read the pdf ,or ppt. i have noticed question. cant the students themselves read it. how is it helping us? no,it isnt.  the notes are always given at the last ment. students have to literally be helpless while asking for notes. even now we have hardly 20 days for exams. but one of the faculty has not shared till now. it doesnt end here. an entire unit is taught through videos. now,we can see videos for our reference. what we need are notes. later,the faculties will surely say you had to understand and write substantial isnt of answer.
there are certain subjects where even the faculties are not able to curate interest in the students.
the way most of the things are taught are not interactive,interesting or efficient.
",NIL,NIL,1,1,1,1,NIL,NIL
188,"keeping control of distraction in oneself hands. blaming social media,mobile phone,internet are not going to solve the problems . control over oneself is sometimes distracting.when i am not able to complete the goal i set up for my self due to distractions. yes mental pressure. switching from online to offline is equivalent to a heartattack. confusion during studies happens. but when i ask my friends or do discussions with them. everything gets sorted out. the pressure fr faculties and parents will never decrease.  since they see us as children and want us to succeed. no, i have never been hesitant to ask questions. let me tell you hod and faculties in power most of the time harass the students if they make mistakes. mistakes can happen from anyone but they escalate the issue and stop our future prospects placenta. studies in today's world seems useless. they are necessary to acquire jobs that's all. because honestly practical experiences teach more than what's required through life experiences.  i have been compared with my cousin sister. but i do compare myself with others to get into healthy competition.","nervous,upset","upset,nervous",1,1,1,1,"{'harass': 'nervous', 'compare': 'upset'}","{'nervous': 80, 'upset': 80}"
189,"i will answer your questions serially.

1. there are numerous things and factors that touch my heart. for example, in my love crisis, i am in an estranged relationship with my lady-love. then comes the economic insecurity. i am insecure and unclear about my future educational goals. i hope i get relieved by my problems.

2. i usually get irritated when there is no one to help, especially teachers. their lack of support and strange attitudes towards us, students, hamper our peace of mind. thereafter, the fear of scoring top grades in exams haunts us continuously.

3. the vast range of syllabi of all subjects and limited time to study each topic bothers me a lot. it frustrates me.

4. yes, there is constant pressure on me to perform well in my academics. it pains my heart to sense this kind of suffering.

5. there are several distractions to name, such as elements of entertainment, pursuing hobbies, playing sports and games and so on and forth.

6. yes, i get confused during the course of my studies. especially, when the topic is too abstract or difficult to digest or comprehend. it leads to confusion and i get stressed up.

7. of course, i do believe that i may know everything, yet i am being poked by a few teachers and parents that i need to do a lot. i admit that i cant know everything at once, but i endeavour to make it perfect.

8. mostly yes, because there is some kind of fear that makes me tense about how i will be perceived by my teacher and fellow classmates.

9. no, i dont feel so because it is the gospel truth that education is the key to a better form of living. it reminds me of an american proverb - “when the going gets tough, the tough get going”. yes, it is a battlefield and we, students, are the soldiers to accomplish our goals in order to obtain a great life. in ideal circumstances, no student has to be a soldier and the appropriate government should foster our needs and requirements.

10. i tend to compare myself with almost everyone. the element of competition in our environment is so toxic that it compels anyone to make comparisons and be at the topmost position.

ps: i hope your research makes a difference in the education system of this country so that our subsequent generations get educated by proper means.

thanks to jia ma'am for sharing this wonderful questionnaire of yours with us, mumbai university's students!

yours sincerely,
an anonymous student from mutc! :-) ","panic,hate,confused,frustrated,anxious,awful,sad,fearful,nervous","sad,low confidence,nervous,anxious,hate,awful,panic,upset,confused,fearful,frustrated",0.818181818,1,0.9,0.931034483,"{'bothers me': 'upset', 'crisis': 'panic', 'estranged': 'hate', 'insecure': 'low confidence', 'unclear': 'confused', 'frustrate': 'frustrated', 'pressure': 'anxious', 'pain': 'awful', 'suffering': 'sad', 'confused': 'confused', 'confusion': 'confused', 'stress': 'anxious', 'fear': 'fearful', 'tense': 'nervous', 'compare': 'upset'}","{'upset': 67, 'panic': 80, 'hate': 60, 'low confidence': 100, 'confused': 96, 'frustrated': 100, 'anxious': 84, 'awful': 90, 'sad': 87, 'fearful': 100, 'nervous': 100}"
190,"there are so many external stimuli these days that it’s little wonder that many students like me feel distracted. social media, friends, phone, television, video games and outings all have a part to play in wreaking havoc on our ability to focus on studying. if i feel my productivity is suffering from a multitude of distractions, then i feel it's time to change my working environment to one more conducive to studying.
creating the right environment for learning should be a relatively easy solution that will help anyone overcome the power of all these external distractions. by eliminate the things you know to be your weaknesses from your workspace.
","distracted,sad","sad,distracted",1,1,1,1,"{'distract': 'distracted', 'suffer': 'sad', 'distraction': 'distracted'}","{'distracted': 100, 'sad': 80}"
191,when i dont understand concepts it brings me deep sorrow. when i learn something and find it difficult to remember. the way i study like i dont have a pattern but i want a pattern to study. i would say maybe a lot but i tend to act as if i dont have any. things that distract me are anything and everything i can get easily distracted. no i dont confused. no i think i study as much is required but yeah maybe sometimes expectations can be a pressure. i dont hesitate to ask questions. no i dont feel like that but they are essential as that's how we will become something. yeah sometimes but then i remember i totally have a different field so no that much.,distracted,distracted,1,1,1,1,{'distract': 'distracted'},{'distracted': 100}
192,"when i was younger, studying was pretty easy for me due to the fact that everyone had 'lesser' expectations, in a way and also due to the comparatively easier syllabus. because of this, i never quite struggled and consequently, i lack the quality of working hard in high school. i consider myself to be fairly smart, but what bothers me the most is that i can never seem to unlock my full potential due to the above reason. in addition, there are many distractions around me, both external and internal which make it hard for me to give it my all. i do sometimes find it difficult to ask questions due to a mild fear of being judged, but when i do work up the nerve to ask a doubt, i find that i was mostly over thinking it. i dont really compare myself, but there are times when i look at my achievementsand that of my friends and feel a bit inadequate.",distracted,"upset,distracted",0.5,1,0.666666667,0.965517241,"{'bothers me': 'upset', 'distraction': 'distracted'}","{'upset': 60, 'distracted': 100}"
193,phones and internet distract me from studies. one cant just surf the net and go right back to studying because the mind is still processing the unnecessary data it just received. i lose my focus and interest in studying and keep checking the phone more frequently. i tend to get irritated when i dont understand a concept quickly. i am noy usually compared with anyone but there's a competitive environment within my class which also adds to my feeling of wanting to score good grades ,distracted,"upset,distracted",0.5,1,0.666666667,0.965517241,"{'phone': 'distracted', 'internet': 'distracted', 'distract': 'distracted', 'lose my focus': 'distracted', 'lose': 'upset'}","{'distracted': 94, 'upset': 80}"
194,"1-lack of mood, and surrounding distractions
2- when i am about to study and someone tells me to
3- lack of completion
4- very less
5- phone
6 sometimes when i think if it is the right topic
7 no
8 i used to hesitate not anymore
9 i dont
10 not always, but sometimes after exam result comes i compare",NIL,anxious,0,0,0,0,{'hesitate': 'anxious'},{'anxious': 80}
195,i dont hate my studies but i cant understand some subjects. i dont compare myself with my friends because i know whats my problem. i dont think about myself shameless but i have some teachers like they dont behave with me like a teacher they guide and understand me like a friend. i dont weak with my studies but i have best guiders.,confused,NIL,0,0,0,0,NIL,NIL
196,"when i am in tension so i am in deep sorrow and unable to study. yes, i am when i am confused in doing study. yes all subjects are confused and pressure on me. my phone is distracts me from studies. yes, when the will come soon then i am confused. no, my family is caring me. 
","confused,distracted","anxious,confused,distracted",0.666666667,1,0.8,0.965517241,"{'confused': 'confused', 'pressure': 'anxious', 'phone': 'distracted', 'distract': 'distracted'}","{'confused': 100, 'anxious': 80, 'distracted': 99}"
197,i have not any problem. i cant study physics numericals and maths is very difficult. i was having very difficulties because topics are not prepared for exams. i have problem with english grammmar.,"low confidence,upset","upset,low confidence",1,1,1,1,"{'cant study': 'low confidence', 'have problem': 'upset'}","{'low confidence': 80, 'upset': 70}"
198,"yes when i have not revised the lesson 2 times and go in that situation i went in deep sorrow. yes, when exam having all chapters in exam. yes distracts my mobile from my studies only because seeing youtube. yes when i am not getting ans. no. yes i hesitate from teacher i thought they will scold me infront of class. no. yes, my parents and grandmother is comparing with my cousins sister about studies.","distracted,anxious,sad,upset","upset,anxious,sad,distracted",1,1,1,1,"{'mobile': 'distracted', 'distract': 'distracted', 'hesitate': 'anxious', 'scold': 'sad', 'compare': 'upset'}","{'distracted': 98, 'anxious': 80, 'sad': 90, 'upset': 80}"
199,"the pressure of getting good grades as well as covering up a vast portion eventually results in anxiety and sorrow. usually, it depends on the understanding of a topic, if it already known then it seems preety easy.  distractions such as phones, televisions. expectations to make true leads to pressure sometimes. usually because of distractions. may, maybe not. yes, in school, but as we grew i guess the hesitation faded. never felt this concern. yes cause we studies together understanding and grade wise it affects.",NIL,NIL,1,1,1,1,NIL,NIL
200,whenever we have tests and due to that my friends and i are unable to meet but they still go and this takes me in deep sorrow due to which i am a bit confused while studying. i get irritated by my studies because we have given portion four days earlier than the exam and the portion is vast so we may not be able to complete it. whenever someone disturbs me while studying i get very annoyed. while studying the pressure to do good and complete the topic. the simple joy of sleeping distracts me from studying although i manage to not give up. i sometimes get confused while studying. i hesitate to ask my queries in class as i am a lit of an introvart. studies are very important not just in my life but everyone's life. ,"sad,confused,irritable,nervous,distracted,anxious","sad,nervous,careless,irritable,anxious,confused,distracted",0.857142857,1,0.923076923,0.965517241,"{'sorrow': 'sad', 'confused': 'confused', 'irritated': 'irritable', 'disturb': 'nervous', 'annoyed': 'irritable', 'sleep': 'careless', 'distract': 'distracted', 'hesitate': 'anxious'}","{'sad': 80, 'confused': 100, 'irritable': 92, 'nervous': 80, 'careless': 80, 'distracted': 100, 'anxious': 80}"
201,"yes,i feel pressure during doing my studies.because the portion is vast and time is very less. i get nervous before the exam and get blank due to tension.i ask myself whether i will get good marks? is the paper easy?and many more","anxious,nervous","anxious,nervous",1,1,1,1,"{'pressure': 'anxious', 'nervous': 'nervous', 'tension': 'nervous'}","{'anxious': 80, 'nervous': 89}"
202,"i am apoorva ajay patel,so i dont distracted as such but when i prepare i do know how it is to be done or i understand  the concept and theory but while it comes to writing i dont know how i get confused with the same",NIL,NIL,1,1,1,1,NIL,NIL
203,i get no such difficulty while studying. i utilize my time properly. my grasping power is strong there is noconfusion during studies. i dont distracted easily.,NIL,NIL,1,1,1,1,NIL,NIL
204,during studies i usually get distracted because of phone  but still i know my studies are important.yes i do understand what has being been taught by the teacher. no i dont feel studies are not essential for me because it is very is important for my future.,distracted,distracted,1,1,1,1,"{'phone': 'distracted', 'distract': 'distracted'}",{'distracted': 98}
205,"there are times i cant recall things while studying which makes me irritated and anxies. well,i dont bothered easily while i am studying ,it's just i need a silent atmosphere to study. i feel the pressure of getting good marks always. getting good marks just motivates me to study. sometimes i too get confused while studying there are a lot of things to remember and to recall i think  that make me confused.i dont feel i know everything,the more you study the more you know. i do hesitate to ask queries in class.","irritable,anxious","irritable,proud,anxious",0.666666667,1,0.8,0.965517241,"{'irritated': 'irritable', 'i know everything': 'proud', 'pressure': 'anxious', 'hesitate': 'anxious'}","{'irritable': 100, 'proud': 60, 'anxious': 80}"
206,"the thing i get irritated about while studying is the fact that i have to mug up/by heart the knowledge for school exams.our school exams focus more on learning and not on our real knowledge and skills. no,i dont feel much pressure while studying at home. no,at home my parents dont force me to study. i dont hesitate to ask queries. i do feel studies are essential but it should be done in a manner that focuses on actual knowledge and talents. also,schools should provide optional and extra subjects for those interested in specific fields of profession. no,i dont compare my perfomance with my friends",irritable,irritable,1,1,1,1,{'irritated': 'irritable'},{'irritable': 100}
207,"distraction is one of the problem while studying.also because of online studying,mobiles and laptop needs to be used,so someti,es i get distracted and tend to waste time over apps.also sometimes i hesitate to ask questions in class.else there are no more problems.","distracted,careless","careless,distracted",1,1,1,1,"{'distract': 'distracted', 'waste': 'careless'}","{'distracted': 100, 'careless': 80}"
208,"i am getting distracted by studies because of my mobile phone. i get irritated when i cant understand the concept. i felt that the syllabus is to lengthy so i get irritated and pressured by my mother to always getting into studies. i get confused by study because i cant focused and i cant understnd that which subject study,i should do first. i study by my own but my parents always ask for study more. i fell scared ask queries to teachers. i fell study is more essential for me.my parents always compare me to another student or my friends related studies.","distracted,bored,irritable,anxious,confused,fearful,upset","irritable,anxious,bored,upset,confused,fearful,distracted",1,1,1,1,"{'distract': 'distracted', 'cant focus': 'distracted', 'lengthy': 'bored', 'irritated': 'irritable', 'pressure': 'anxious', 'confuse': 'confused', 'scared': 'fearful', 'compare': 'upset'}","{'distracted': 89, 'bored': 70, 'irritable': 100, 'anxious': 80, 'confused': 100, 'fearful': 80, 'upset': 80}"
209,"when i was distracted in mobile,tv or any another entertainment i just feel disturb.after some time i feel that to give my best in studies but distracted every time. sometimes i become confused in some suject and become frustrated but i always clearing my doubts .my parents and teachers never compare me with my friends or anyone else in my contact.no one get pressurise me to do study but i feel very bad and depressed after distracted. distraction is one of my biggest problem.",distracted,distracted,1,1,1,1,"{'distract': 'distracted', 'distraction': 'distracted'}",{'distracted': 100}
210,"overthinking things.when there is a lot of pressure given by the teachers and parents. they want us do only study.yes, i do everyone forcing us to do study.phone. yes because we dont have guidance. yes i hesitate. no i dont think so. yes our teachers and family members.",anxious,anxious,1,1,1,1,{'hesitate': 'anxious'},{'anxious': 80}
211,overthinking . when i cant understand and because of parents force for doing study for 24 hours. phones. no because when i am study i am enjoy it sometimes. yes when i cant understand. no when i am not understand i ask. no. yes but all are not you so why compare someone.,NIL,NIL,1,1,1,1,NIL,NIL
212,yes i have get irritated about my studies. many problems in physics and chemistry. yes i have get confused while doing my studies because it is too hard. yes my family conpaes me with my friends about my studies. i dont like to do studies.,"irritable,confused,hate","irritable,confused",1,0.666666667,0.8,0.965517241,"{'irritated': 'irritable', 'dont like': 'irritable', 'confuse': 'confused'}","{'irritable': 80, 'confused': 100}"
213,some fake scenerio that i imagine while studying it almost took 10-15 min to come out of it. but i think that's fine. there's nothing to irritate me about studies. until now i havent feel any kind of pressure while studying. when i start studying after an hour i feel sleepy so i take a 30 min break and when i get back to study it's fine actually. i feel like i know everything but sometimes some backlog remain.,distracted,"anxious,distracted",0.5,1,0.666666667,0.965517241,"{'fake': 'distracted', 'pressure': 'anxious'}","{'distracted': 70, 'anxious': 80}"
214,the main problem is in the studying is social media. when i get irritatated about studies is the learning problem. social media and games distract from studies. yes it is confusing when i am studying because the question and long ans. my parents and my relatives compare me with others.,upset,upset,1,1,1,1,{'compare': 'upset'},{'upset': 80}
215,"i am not able to study when i am sad coz it causes distraction while studying and we use to think about it. we get irritated when we try hard to understand that. mobile phones,playing outside are distractions from studying.",NIL,NIL,1,1,1,1,NIL,NIL
216,"i am unable to study when i feel sad or low. it is irritating when someone is looking at you for studying. sometimes,there are distractions such as phone,games etc. there are times when there is less confidence even after studying everything. i wont compare myself to anyone because i dont have to prove anything to anyone. other than that there are no such problems while studying.",NIL,NIL,1,1,1,1,NIL,NIL
